Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Tarun R Jain,195,expert,https://www.kaggle.com/tarundalal,0,2,4,84,a year ago
Omkar Gowda,196,expert,https://www.kaggle.com/omkargowda,0,3,3,84,a year ago
Yassir Acharki,197,expert,https://www.kaggle.com/yacharki,0,1,9,84,8 months ago
Anshuman Mishra,198,expert,https://www.kaggle.com/shivanshuman,0,1,5,83,3 years ago
Brandon Conrady,199,expert,https://www.kaggle.com/brandonconrady,0,0,15,83,a year ago
Abir CHakraborty,200,expert,https://www.kaggle.com/ac1414,0,3,1,83,10 months ago
tito,201,expert,https://www.kaggle.com/its7171,2,2,3,82,7 years ago
Aleksandr Snorkin,202,expert,https://www.kaggle.com/parapapapam,0,2,8,82,7 years ago
Raphael Fontes,203,master,https://www.kaggle.com/unanimad,3,2,4,82,3 years ago
Murilão,204,master,https://www.kaggle.com/upadorprofzs,6,0,0,82,3 years ago
Carl McBride Ellis,205,expert,https://www.kaggle.com/carlmcbrideellis,0,3,11,82,3 years ago
Arya Shah,206,expert,https://www.kaggle.com/aryashah2k,0,1,12,82,2 years ago
CodeBreaker619,207,expert,https://www.kaggle.com/codebreaker619,0,5,13,82,2 years ago
Aman Miglani,208,expert,https://www.kaggle.com/datatattle,1,0,4,81,3 years ago
Towhidul.Tonmoy,209,expert,https://www.kaggle.com/towhidultonmoy,0,0,9,81,3 years ago
Syed Jafer,210,expert,https://www.kaggle.com/syedjaferk,0,0,14,81,2 years ago
radmirkaz,211,expert,https://www.kaggle.com/hijest,1,3,0,81,2 years ago
Amritha R J,212,expert,https://www.kaggle.com/amritharj,0,1,5,81,a year ago
efimpolianskii,213,expert,https://www.kaggle.com/timmofeyy,0,0,15,81,10 months ago
Rihanna Namdari,214,expert,https://www.kaggle.com/reihanenamdari,0,4,0,81,7 months ago
Sobhan Moosavi,215,expert,https://www.kaggle.com/sobhanmoosavi,1,1,1,80,8 years ago
Praveen,216,expert,https://www.kaggle.com/praveengovi,2,0,5,80,7 years ago
Cam Nugent,217,expert,https://www.kaggle.com/camnugent,2,0,3,80,6 years ago
Alex Shonenkov,218,master,https://www.kaggle.com/shonenkov,3,3,5,80,4 years ago
KS,219,expert,https://www.kaggle.com/ks2019,0,1,8,80,4 years ago
Jan Bre,220,expert,https://www.kaggle.com/jpbremer,0,3,3,80,4 years ago
Girgis Micheal,221,expert,https://www.kaggle.com/girgismicheal,0,0,7,80,2 years ago
Santosh Kumar,222,expert,https://www.kaggle.com/kuchhbhi,0,0,10,80,a year ago
Jonathan Besomi,223,expert,https://www.kaggle.com/jonathanbesomi,1,0,4,79,4 years ago
Shiv Kumar Ganesh,224,expert,https://www.kaggle.com/shivkumarganesh,0,0,14,79,2 years ago
Jarred Priester,225,expert,https://www.kaggle.com/jarredpriester,0,0,9,79,2 years ago
PavelBiz,226,expert,https://www.kaggle.com/pavelbiz,0,1,9,79,2 years ago
MD Shariful Islam,227,expert,https://www.kaggle.com/shariful07,0,3,1,79,7 months ago
Teja Surya,228,expert,https://www.kaggle.com/tejasurya,0,0,7,78,5 years ago
Aman Kumar,229,expert,https://www.kaggle.com/aestheteaman01,0,6,4,78,4 years ago
Andrii Samoshyn,230,expert,https://www.kaggle.com/mrmorj,0,5,9,78,3 years ago
Ken Jee,231,expert,https://www.kaggle.com/kenjee,1,1,3,78,2 years ago
Nick Kuzmenkov,232,expert,https://www.kaggle.com/nickuzmenkov,0,3,3,78,2 years ago
Akshay Dattatray Khare,233,expert,https://www.kaggle.com/akshaydattatraykhare,0,1,6,78,2 years ago
Vishesh Thakur,234,expert,https://www.kaggle.com/vishesh1412,0,1,6,78,a year ago
Clayton Miller,235,expert,https://www.kaggle.com/claytonmiller,0,0,14,77,11 years ago
Tawara,236,master,https://www.kaggle.com/ttahara,1,6,5,77,7 years ago
Olga Belitskaya,237,expert,https://www.kaggle.com/olgabelitskaya,1,1,18,77,6 years ago
Mukesh Manral,238,expert,https://www.kaggle.com/mukeshmanral,0,0,8,77,3 years ago
Anthony Goldbloom,239,expert,https://www.kaggle.com/antgoldbloom,1,3,7,76,13 years ago
Ekrem Bayar,240,expert,https://www.kaggle.com/ekrembayar,0,7,2,76,6 years ago
huseyincotel,241,expert,https://www.kaggle.com/huseyincot,0,2,4,76,5 years ago
Yash Patel,242,expert,https://www.kaggle.com/ysthehurricane,0,6,1,76,2 years ago
Rahil Parikh,243,expert,https://www.kaggle.com/rprkh15,0,3,3,76,a year ago
Jirka Borovec,244,expert,https://www.kaggle.com/jirkaborovec,0,2,7,75,3 years ago
Sooter Saalu,245,expert,https://www.kaggle.com/sootersaalu,1,0,2,75,2 years ago
Jehan Bhathena,246,expert,https://www.kaggle.com/jehanbhathena,0,2,6,75,2 years ago
julienjta,247,expert,https://www.kaggle.com/julienjta,0,2,2,74,7 months ago
Thomas Konstantin,248,expert,https://www.kaggle.com/thomaskonstantin,0,2,18,73,3 years ago
Mobassir,249,expert,https://www.kaggle.com/mobassir,0,1,12,71,4 years ago
Aung Pyae,250,expert,https://www.kaggle.com/aungpyaeap,2,0,2,70,4 years ago
babyoda,251,master,https://www.kaggle.com/babyoda,1,5,0,70,2 years ago
Yash Goel,252,expert,https://www.kaggle.com/goelyash,0,2,4,70,2 years ago
DataCluster Labs,253,expert,https://www.kaggle.com/dataclusterlabs,0,0,5,70,a year ago
Yaroslav Isaienkov,254,expert,https://www.kaggle.com/ihelon,1,0,6,69,5 years ago
Chirag Desai,255,expert,https://www.kaggle.com/cid007,0,0,9,69,3 years ago
SOUMENDRA PRASAD MOHANTY,256,expert,https://www.kaggle.com/soumendraprasad,0,2,1,69,3 months ago
Balraj Ashwath,257,expert,https://www.kaggle.com/balraj98,0,3,14,68,5 years ago
Rupak Roy,258,expert,https://www.kaggle.com/rupakroy,0,0,10,68,4 years ago
Alex,259,expert,https://www.kaggle.com/alexandrepetit881234,0,0,7,68,a year ago
ammarali32,260,expert,https://www.kaggle.com/ammarali32,1,1,8,67,3 years ago
Akshat Pattiwar,261,expert,https://www.kaggle.com/akshatpattiwar,0,1,4,67,2 years ago
Syed Asim Ali Shah,262,expert,https://www.kaggle.com/syedasimalishah,0,0,9,67,2 years ago
kkiller,263,expert,https://www.kaggle.com/kneroma,0,4,9,66,5 years ago
Kirolos Atef,264,expert,https://www.kaggle.com/kirolosatef,0,0,5,66,3 years ago
Remek Kinas,265,expert,https://www.kaggle.com/remekkinas,0,2,6,66,3 years ago
Prit Sheta,266,expert,https://www.kaggle.com/pritsheta,0,1,9,66,2 years ago
HIMANSHU NAKRANI,267,expert,https://www.kaggle.com/himanshunakrani,0,1,4,66,a year ago
Manoj Gharge,268,expert,https://www.kaggle.com/manojgharge07,0,0,7,66,5 months ago
Salman Ibne Eunus,269,expert,https://www.kaggle.com/salmaneunus,0,5,8,65,3 years ago
Sparsh Gupta,270,expert,https://www.kaggle.com/imsparsh,1,0,8,65,3 years ago
Yasir Hussein Shakir,271,expert,https://www.kaggle.com/yasserhessein,0,0,11,65,3 years ago
