Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Najeeb Ahmed Bhuiyan,1648,expert,https://www.kaggle.com/najeebahmadbhuiyan,1,0,56,38,a year ago
Rohan Sharma,1649,expert,https://www.kaggle.com/rohan4050,0,0,89,38,a year ago
Arman Malekzadeh Lashkaryani,1650,expert,https://www.kaggle.com/malekzadeharman,0,1,58,37,5 years ago
Jony Karki,1651,expert,https://www.kaggle.com/jonykarki,1,4,87,37,5 years ago
Casper Winsnes,1652,expert,https://www.kaggle.com/cwinsnes,1,4,54,37,4 years ago
Aditya Baurai,1653,expert,https://www.kaggle.com/fireheart7,1,5,91,37,4 years ago
Amit Hasan Shuvo,1654,expert,https://www.kaggle.com/amithasanshuvo,4,1,101,37,4 years ago
Ritik P. Nayak,1655,expert,https://www.kaggle.com/ritikpnayak,0,3,87,37,3 years ago
Ajaypal Singh,1656,expert,https://www.kaggle.com/ajaypalsinghlo,0,1,101,37,3 years ago
Utcarsh Agrawal,1657,expert,https://www.kaggle.com/utcarshagrawal,1,1,84,37,3 years ago
Ashutosh Sahay,1658,expert,https://www.kaggle.com/ashutoshsahay,1,0,55,37,2 years ago
Sirisha Siri,1659,expert,https://www.kaggle.com/ishadss,0,2,101,37,2 years ago
Advik Maniar,1660,expert,https://www.kaggle.com/advikmaniar,0,0,109,37,2 years ago
