,Title,Total Views,Upload Time,Duration,Subtitles,Link
134,Tipping Waitresses With Real Gold Bars,54M views,3 years ago,13:32,,https://www.youtube.com/watch?v=Rmf6T_Ewt38
135,"I Gave My Brother 24 Hours To Spend $100,000",54M views,3 years ago,13:08,CC,https://www.youtube.com/watch?v=0NGWT9COcEI
136,I Didn’t Eat Food For 30 Days,54M views,3 months ago,13:04,CC,https://www.youtube.com/watch?v=vaIgyRoUkQI
137,"Giving $10,000 To Random People And Saying Nothing",53M views,3 years ago,15:59,,https://www.youtube.com/watch?v=xhIYirjB4Yc
138,"Giving 10,000 Presents To Kids For Christmas",53M views,2 years ago,13:48,CC,https://www.youtube.com/watch?v=Z9WQy9jEY8M
139,"Attempting The Impossible Maze - $10,000 Challenge",53M views,4 years ago,19:47,,https://www.youtube.com/watch?v=b91vrgVY-ZQ
140,Breaking Glass Using Only Megaphones,52M views,4 years ago,9:12,,https://www.youtube.com/watch?v=XKFKPQHdWRI
141,"Anything You Can Carry, I'll Pay For #2",52M views,3 years ago,13:59,CC,https://www.youtube.com/watch?v=npDey6_9YRs
142,I Put 10 Million Legos in Friend's House,51M views,3 years ago,15:17,,https://www.youtube.com/watch?v=q6Qw8mUVTrE
143,"Donating $100,000 To A Random Fortnite Streamer",50M views,4 years ago,23:02,,https://www.youtube.com/watch?v=52ubXjlVzUY
144,"We Drove 3,000 Miles For The World's Best Burger",50M views,4 years ago,15:26,,https://www.youtube.com/watch?v=MC5h-ShR-S8
145,Watching Dance Till You're Dead For 10 Hours,50M views,5 years ago,10:00:01,,https://www.youtube.com/watch?v=AS5CxLCWq-Q
146,Counting To 10000 In One Sitting,50M views,6 years ago,3:29:41,,https://www.youtube.com/watch?v=9Ax56oRhcZc
147,"Can 50,000 Magnets Catch A Cannon Ball?",49M views,3 years ago,9:29,,https://www.youtube.com/watch?v=ws694xrKopA
148,"Last To Leave Ramen Noodle Pool Wins $20,000",48M views,3 years ago,14:32,CC,https://www.youtube.com/watch?v=NS3hse9ezik
149,"Get This Random Person 1,000,000 Subscribers",48M views,2 years ago,14:05,CC,https://www.youtube.com/watch?v=oD155zWANQg
150,"If You Press This, I’ll Pay...",46M views,1 year ago,11:05,CC,https://www.youtube.com/watch?v=_uwNDiU04zE
151,"I Gave $20,000 To Random Homeless People",46M views,4 years ago,10:56,,https://www.youtube.com/watch?v=op0N7axawJA
152,"$200,000 Youtuber Battle Royale",46M views,3 years ago,26:24,,https://www.youtube.com/watch?v=ZV7rU6lnAKQ
153,Donating $10000 To Pewdiepie,45M views,3 years ago,15:15,,https://www.youtube.com/watch?v=QapO3maXd9k
154,"Survive 100 Days In Circle, Win $500,000",46M views,2 weeks ago,17:57,,https://www.youtube.com/watch?v=gHzuabZUd6c
155,"I Spent $100,000 On Lottery Tickets And Won!",45M views,2 years ago,15:10,CC,https://www.youtube.com/watch?v=jokVbbLqV_E
156,"$250,000 Influencer Rock, Paper, Scissors Tournament",44M views,Streamed 2 years ago,28:00,CC,https://www.youtube.com/watch?v=Ih2WTyY62J4
157,Moving 10 Pounds Using ONLY Sound,43M views,4 years ago,13:46,,https://www.youtube.com/watch?v=XHb7g6yuGgE
158,I Bought One Snickers Bar From Every Walmart,43M views,4 years ago,10:40,,https://www.youtube.com/watch?v=sirrTXiPFmw
159,100 Person Extreme Hide & Seek!,42M views,1 month ago,12:23,CC,https://www.youtube.com/watch?v=65fN_OUawjk
160,"Spending $40,000 In One Hour Challenge",42M views,3 years ago,14:03,,https://www.youtube.com/watch?v=1SwVSTKFCsc
161,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",42M views,2 years ago,11:45,CC,https://www.youtube.com/watch?v=wMuYiLby3-s
162,"Ordering Water Then Tipping $30,000",42M views,3 years ago,12:03,,https://www.youtube.com/watch?v=uE6gud1voDs
163,I Hope This Magic Trick Works,41M views,4 years ago,16:22,,https://www.youtube.com/watch?v=tBEBc4KQVsU
